Year,Player,Rk,G,Date,Age,Tm,Opp,Difference,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2022,DeMar DeRozan,15,15,11/16/2022,33-101,CHI,NOP,L (-14),1,30:53:00,11,15,0.733,0,1,0,6,7,0.857,1,3,4,7,0,0,0,3,28,26.8,-14
2022,DeMar DeRozan,16,16,11/18/2022,33-103,CHI,ORL,L (-1),1,43:38:00,16,30,0.533,1,2,0.5,8,9,0.889,1,3,4,2,0,0,2,2,41,26.2,13
2022,DeMar DeRozan,17,17,11/21/2022,33-106,CHI,BOS,W (+14),1,35:03:00,11,24,0.458,3,3,1,3,3,1,0,8,8,4,1,0,2,3,28,18.6,20
2022,DeMar DeRozan,18,18,11/23/2022,33-108,CHI,MIL,W (+5),1,37:33:00,14,24,0.583,2,3,0.667,6,7,0.857,0,4,4,8,1,2,2,0,36,31.6,15
2022,DeMar DeRozan,19,19,11/25/2022,33-110,CHI,OKC,L (-4),1,42:16:00,12,27,0.444,0,1,0,6,8,0.75,0,4,4,6,2,0,2,5,30,18.5,6
2022,DeMar DeRozan,20,20,11/28/2022,33-113,CHI,UTA,W (+7),1,35:40:00,9,20,0.45,0,1,0,8,9,0.889,2,2,4,6,1,0,0,4,26,20.8,2
2022,DeMar DeRozan,21,21,11/30/2022,33-115,CHI,PHO,L (-19),1,31:47:00,11,17,0.647,0,1,0,7,8,0.875,0,7,7,4,0,1,2,3,29,23.5,-8
2022,DeMar DeRozan,22,22,12/2/2022,33-117,CHI,GSW,L (-8),1,35:45:00,4,15,0.267,0,0,,8,9,0.889,1,5,6,7,0,0,1,4,16,11.2,-12
2022,DeMar DeRozan,23,23,12/4/2022,33-119,CHI,SAC,L (-9),1,35:24:00,6,18,0.333,0,0,,6,6,1,1,4,5,4,0,0,2,3,18,9.3,-8
2022,DeMar DeRozan,24,24,12/7/2022,33-122,CHI,WAS,W (+4),1,37:15:00,11,21,0.524,0,1,0,5,6,0.833,0,7,7,4,0,1,5,3,27,15.7,5
2022,DeMar DeRozan,25,25,12/10/2022,33-125,CHI,DAL,W (+29),1,31:34:00,9,13,0.692,1,2,0.5,9,9,1,0,9,9,5,0,0,2,1,28,26.3,38
2022,DeMar DeRozan,26,26,12/11/2022,33-126,CHI,ATL,L (-1),1,45:19:00,10,21,0.476,0,0,,14,15,0.933,1,12,13,8,0,0,1,2,34,31,3
2022,DeMar DeRozan,27,27,12/14/2022,33-129,CHI,NYK,L (-8),1,39:48:00,8,18,0.444,0,2,0,16,17,0.941,0,5,5,2,0,2,2,3,32,23.3,-9
2022,DeMar DeRozan,28,28,12/16/2022,33-131,CHI,NYK,L (-23),1,30:46:00,6,14,0.429,0,1,0,2,2,1,0,4,4,4,1,0,4,3,14,6.4,-23
2022,DeMar DeRozan,29,29,12/18/2022,33-133,CHI,MIN,L (-24),1,38:52:00,10,19,0.526,2,4,0.5,7,9,0.778,1,3,4,6,2,0,1,2,29,24.9,-5
2022,DeMar DeRozan,30,30,12/20/2022,33-135,CHI,MIA,W (+10),1,39:31:00,9,14,0.643,0,1,0,6,6,1,1,4,5,5,0,0,2,2,24,20.4,11
2022,DeMar DeRozan,31,31,12/21/2022,33-136,CHI,ATL,W (+2),1,37:50:00,12,23,0.522,0,1,0,4,6,0.667,2,4,6,5,1,0,1,5,28,20,5
