Year,Player,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2022,Alex Caruso,64,54,3/3/2023,29-003,CHI,,PHO,L (-21),0,19:26,1,4,0.25,1,4,0.25,2,2,1,0,5,5,2,0,0,0,0,5,5.5,5
2022,Alex Caruso,65,55,3/5/2023,29-005,CHI,,IND,L (-3),1,26:45:00,3,4,0.75,0,1,0,4,4,1,1,1,2,0,2,0,0,2,10,10.6,1
2022,Alex Caruso,66,56,3/8/2023,29-008,CHI,@,DEN,W (+21),1,17:38,3,8,0.375,0,2,0,0,0,,1,2,3,2,1,0,2,2,6,2.5,-2
2022,Alex Caruso,67,57,3/11/2023,29-011,CHI,@,HOU,W (+8),1,28:37:00,2,5,0.4,0,2,0,1,2,0.5,2,0,2,0,3,2,1,2,5,5.9,10
2022,Alex Caruso,68,,3/15/2023,29-015,CHI,,SAC,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2022,Alex Caruso,69,58,3/17/2023,29-017,CHI,,MIN,W (+8),1,32:17:00,3,5,0.6,1,2,0.5,0,0,,0,0,0,3,0,1,0,3,7,6.3,-2
2022,Alex Caruso,70,59,3/18/2023,29-018,CHI,,MIA,W (+14),1,9:59,2,3,0.667,1,2,0.5,0,0,,0,0,0,2,1,1,0,0,5,6.8,-1
2022,Alex Caruso,71,,3/20/2023,29-020,CHI,@,PHI,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2022,Alex Caruso,72,,3/22/2023,29-022,CHI,,PHI,L (-25),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2022,Alex Caruso,73,60,3/24/2023,29-024,CHI,@,POR,W (+28),1,16:24,2,2,1,1,1,1,1,2,0.5,0,0,0,1,0,0,0,0,6,5.7,2
2022,Alex Caruso,74,61,3/26/2023,29-026,CHI,@,LAL,W (+10),1,25:52:00,2,5,0.4,1,3,0.333,2,2,1,2,3,5,1,1,0,1,3,7,6.1,-4
2022,Alex Caruso,75,,3/27/2023,29-027,CHI,@,LAC,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2022,Alex Caruso,76,62,3/29/2023,29-029,CHI,,LAL,L (-11),1,18:52,2,4,0.5,1,3,0.333,0,0,,1,1,2,3,1,0,0,1,5,6.7,-5
2022,Alex Caruso,77,63,3/31/2023,29-031,CHI,@,CHO,W (+30),1,20:37,4,7,0.571,2,5,0.4,0,0,,1,3,4,3,1,2,0,3,10,11.6,16
2022,Alex Caruso,78,64,4/2/2023,29-033,CHI,,MEM,W (+21),1,24:05:00,2,3,0.667,1,2,0.5,0,0,,0,1,1,2,3,2,0,2,5,9,20
2022,Alex Caruso,79,65,4/4/2023,29-035,CHI,,ATL,L (-18),1,19:13,0,2,0,0,1,0,0,0,,1,4,5,1,0,1,1,3,0,-0.3,-12
2022,Alex Caruso,80,,4/5/2023,29-036,CHI,@,MIL,L (-13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2022,Alex Caruso,81,66,4/7/2023,29-038,CHI,@,DAL,W (+3),1,17:53,3,4,0.75,1,1,1,0,0,,1,0,1,1,0,1,2,2,7,4.7,-2
2022,Alex Caruso,82,67,4/9/2023,29-040,CHI,,DET,W (+22),1,15:12,1,3,0.333,0,2,0,0,0,,0,1,1,2,0,2,0,1,2,3,10
